phoneme	name	comments

	NO NAME
͡	COMBINING DOUBLE INVERTED BREVE
.	FULL STOP
ï	LATIN SMALL LETTER I WITH DIAERESIS	is in phoible, if decomposed
ṵ	LATIN SMALL LETTER U WITH TILDE BELOW	is in phoible, if decomposed
à	LATIN SMALL LETTER A WITH GRAVE
á	LATIN SMALL LETTER A WITH ACUTE
ì	LATIN SMALL LETTER I WITH GRAVE
ò	LATIN SMALL LETTER O WITH GRAVE
è	LATIN SMALL LETTER E WITH GRAVE
í	LATIN SMALL LETTER I WITH ACUTE
̀	COMBINING GRAVE ACCENT
́	COMBINING ACUTE ACCENT
ḭ	LATIN SMALL LETTER I WITH TILDE BELOW	is in phoible, if decomposed
ḛ	LATIN SMALL LETTER E WITH TILDE BELOW	is in phoible, if decomposed
ó	LATIN SMALL LETTER O WITH ACUTE
ú	LATIN SMALL LETTER U WITH ACUTE
é	LATIN SMALL LETTER E WITH ACUTE
ù	LATIN SMALL LETTER U WITH GRAVE
ᵝ	MODIFIER LETTER SMALL BETA
ẽ	LATIN SMALL LETTER E WITH TILDE	is in phoible, if decomposed
ã	LATIN SMALL LETTER A WITH TILDE	is in phoible, if decomposed
ĩ	LATIN SMALL LETTER I WITH TILDE	is in phoible, if decomposed
õ	LATIN SMALL LETTER O WITH TILDE	is in phoible, if decomposed
ç	LATIN SMALL LETTER C WITH CEDILLA	is in phoible, if decomposed
,	COMMA
ʸ	MODIFIER LETTER SMALL Y
ä	LATIN SMALL LETTER A WITH DIAERESIS	is in phoible, if decomposed
ˣ	MODIFIER LETTER SMALL X
̍	COMBINING VERTICAL LINE ABOVE
͜	COMBINING DOUBLE BREVE BELOW
ũ	LATIN SMALL LETTER U WITH TILDE	is in phoible, if decomposed
~	TILDE
‿	UNDERTIE
ý	LATIN SMALL LETTER Y WITH ACUTE
ǿ	LATIN SMALL LETTER O WITH STROKE AND ACUTE
ɝ	LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
ᵑ	MODIFIER LETTER SMALL ENG
˔	MODIFIER LETTER UP TACK
ᵊ	MODIFIER LETTER SMALL SCHWA
⁓	SWUNG DASH
᷈	COMBINING GRAVE-ACUTE-GRAVE
ĭ	LATIN SMALL LETTER I WITH BREVE	is in phoible, if decomposed
ŭ	LATIN SMALL LETTER U WITH BREVE	is in phoible, if decomposed
⁽	SUPERSCRIPT LEFT PARENTHESIS
⁾	SUPERSCRIPT RIGHT PARENTHESIS
ǎ	LATIN SMALL LETTER A WITH CARON
̌	COMBINING CARON
͍	COMBINING LEFT RIGHT ARROW BELOW
˕	MODIFIER LETTER DOWN TACK
ē	LATIN SMALL LETTER E WITH MACRON
ʳ	MODIFIER LETTER SMALL R
î	LATIN SMALL LETTER I WITH CIRCUMFLEX
ô	LATIN SMALL LETTER O WITH CIRCUMFLEX
ṽ	LATIN SMALL LETTER V WITH TILDE	is in phoible, if decomposed
̂	COMBINING CIRCUMFLEX ACCENT
â	LATIN SMALL LETTER A WITH CIRCUMFLEX
ŏ	LATIN SMALL LETTER O WITH BREVE	is in phoible, if decomposed
ö	LATIN SMALL LETTER O WITH DIAERESIS	is in phoible, if decomposed
ü	LATIN SMALL LETTER U WITH DIAERESIS	is in phoible, if decomposed
ă	LATIN SMALL LETTER A WITH BREVE	is in phoible, if decomposed
ā	LATIN SMALL LETTER A WITH MACRON
ḁ	LATIN SMALL LETTER A WITH RING BELOW	is in phoible, if decomposed
‌	ZERO WIDTH NON-JOINER
’	RIGHT SINGLE QUOTATION MARK
မ	MYANMAR LETTER MA
ာ	MYANMAR VOWEL SIGN AA
'	APOSTROPHE
û	LATIN SMALL LETTER U WITH CIRCUMFLEX
ᶢ	MODIFIER LETTER SMALL SCRIPT G
ꜜ	MODIFIER LETTER RAISED DOWN ARROW
ê	LATIN SMALL LETTER E WITH CIRCUMFLEX
ḿ	LATIN SMALL LETTER M WITH ACUTE
ǔ	LATIN SMALL LETTER U WITH CARON
⁵	SUPERSCRIPT FIVE
¹	SUPERSCRIPT ONE
²	SUPERSCRIPT TWO
⁴	SUPERSCRIPT FOUR
³	SUPERSCRIPT THREE
⁻	SUPERSCRIPT MINUS
g	LATIN SMALL LETTER G
⁰	SUPERSCRIPT ZERO
